prompt_id,log_file,start_time,end_time,gen_time,gen_time_seconds,execution_aborted,build_status,post_build_error,gemini_input_tokens,gemini_output_tokens,gemini_total_tokens,gemini_api_calls,anthropic_input_tokens,anthropic_output_tokens,anthropic_total_tokens,anthropic_api_calls,total_api_calls
11,promp_11.log,2025-07-22 15:26:17,2025-07-22 15:34:29,8min 12sec,492,False,success,False,19382,512,19894,6,508351,28933,537284,46,52
1,prompt_1.log,2025-07-23 13:50:15,2025-07-23 14:01:13,10min 58sec,658,False,success,False,20933,982,21915,6,962658,39613,1002271,77,83
10,prompt_10.log,2025-07-23 20:35:12,2025-07-23 20:43:35,8min 23sec,503,False,success,False,18948,1141,20089,6,643329,28209,671538,65,71
12,prompt_12.log,2025-07-22 21:45:32,2025-07-22 22:00:39,15min 07sec,907,False,success,False,28202,589,28791,6,2169710,48427,2218137,94,100
13,prompt_13.log,2025-07-22 22:10:06,2025-07-22 22:17:34,7min 28sec,448,False,success,False,16098,341,16439,6,340968,18747,359715,50,56
14,prompt_14.log,2025-07-22 22:41:54,2025-07-22 22:51:16,9min 22sec,562,False,success,False,29699,2465,32164,6,805791,31490,837281,51,57
15,prompt_15.log,2025-07-22 23:20:14,2025-07-22 23:39:44,19min 30sec,1170,True,fail,True,38457,1074,39531,6,3627368,76330,3703698,110,116
2,prompt_2.log,2025-07-23 14:08:41,2025-07-23 14:23:19,14min 38sec,878,False,success,False,29731,889,30620,6,2236555,45924,2282479,123,129
3,prompt_3.log,2025-07-23 14:31:22,2025-07-23 14:42:34,11min 12sec,672,False,success,False,39318,1537,40855,6,1326890,43026,1369916,68,74
4,prompt_4.log,2025-07-23 14:53:35,2025-07-23 15:02:08,8min 33sec,513,False,success,False,26495,1266,27761,6,500614,26013,526627,40,46
5,prompt_5.log,2025-07-23 15:07:38,2025-07-23 15:17:43,10min 05sec,605,False,success,False,25118,647,25765,6,1274113,37468,1311581,70,76
6,prompt_6.log,2025-07-23 19:48:47,2025-07-23 19:55:17,6min 30sec,390,False,success,False,24823,642,25465,6,362750,22432,385182,37,43
7,prompt_7.log,2025-07-23 21:03:15,2025-07-23 21:10:49,7min 34sec,454,False,success,False,18760,463,19223,6,788854,25936,814790,56,62
8,prompt_8.log,2025-07-23 20:02:33,2025-07-23 20:11:04,8min 31sec,511,False,success,False,35282,696,35978,6,551526,28471,579997,36,42
9,prompt_9.log,2025-07-23 20:19:10,2025-07-23 20:28:42,9min 32sec,572,False,success,False,25639,821,26460,6,915043,33074,948117,69,75
